model,dataset,targeted,target,attack,epsilon,alpha,iterations,norm,loss,model_is_missing
flowformer,sintel-final,True,negative,pgd,0.0314,0.01,20,inf,epe,1
flowformer,sintel-final,True,zero,pgd,0.0314,0.01,20,inf,epe,1
flowformer,sintel-final,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
flowformer,sintel-final,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
flowformer,sintel-final,True,negative,bim,0.0314,0.01,20,inf,epe,1
flowformer,sintel-final,True,zero,bim,0.0314,0.01,20,inf,epe,1
flowformer,sintel-final,False,,pgd,0.0157,0.01,20,inf,epe,1
flowformer,sintel-final,False,,pgd,0.0314,0.01,20,inf,epe,1
flowformer,sintel-final,False,,cospgd,0.0157,0.01,20,inf,epe,1
flowformer,sintel-final,False,,cospgd,0.0314,0.01,20,inf,epe,1
flowformer,sintel-final,False,,bim,0.0157,0.01,20,inf,epe,1
flowformer,sintel-final,False,,bim,0.0314,0.01,20,inf,epe,1
llaflow,sintel-final,True,negative,pgd,0.0314,0.01,20,inf,epe,1
llaflow,sintel-final,True,zero,pgd,0.0314,0.01,20,inf,epe,1
llaflow,sintel-final,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
llaflow,sintel-final,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
llaflow,sintel-final,True,negative,bim,0.0314,0.01,20,inf,epe,1
llaflow,sintel-final,True,zero,bim,0.0314,0.01,20,inf,epe,1
llaflow,sintel-final,False,,pgd,0.0157,0.01,20,inf,epe,1
llaflow,sintel-final,False,,pgd,0.0314,0.01,20,inf,epe,1
llaflow,sintel-final,False,,cospgd,0.0157,0.01,20,inf,epe,1
llaflow,sintel-final,False,,cospgd,0.0314,0.01,20,inf,epe,1
llaflow,sintel-final,False,,bim,0.0157,0.01,20,inf,epe,1
llaflow,sintel-final,False,,bim,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-final,True,negative,pgd,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-final,True,zero,pgd,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-final,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-final,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-final,True,negative,bim,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-final,True,zero,bim,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-final,False,,pgd,0.0157,0.01,20,inf,epe,1
maskflownet_s,sintel-final,False,,pgd,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-final,False,,cospgd,0.0157,0.01,20,inf,epe,1
maskflownet_s,sintel-final,False,,cospgd,0.0314,0.01,20,inf,epe,1
maskflownet_s,sintel-final,False,,bim,0.0157,0.01,20,inf,epe,1
maskflownet_s,sintel-final,False,,bim,0.0314,0.01,20,inf,epe,1
matchflow,sintel-final,True,negative,pgd,0.0314,0.01,20,inf,epe,1
matchflow,sintel-final,True,zero,pgd,0.0314,0.01,20,inf,epe,1
matchflow,sintel-final,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
matchflow,sintel-final,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
matchflow,sintel-final,True,negative,bim,0.0314,0.01,20,inf,epe,1
matchflow,sintel-final,True,zero,bim,0.0314,0.01,20,inf,epe,1
matchflow,sintel-final,False,,pgd,0.0157,0.01,20,inf,epe,1
matchflow,sintel-final,False,,pgd,0.0314,0.01,20,inf,epe,1
matchflow,sintel-final,False,,cospgd,0.0157,0.01,20,inf,epe,1
matchflow,sintel-final,False,,cospgd,0.0314,0.01,20,inf,epe,1
matchflow,sintel-final,False,,bim,0.0157,0.01,20,inf,epe,1
matchflow,sintel-final,False,,bim,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-final,True,negative,pgd,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-final,True,zero,pgd,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-final,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-final,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-final,True,negative,bim,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-final,True,zero,bim,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-final,False,,pgd,0.0157,0.01,20,inf,epe,1
rapidflow,sintel-final,False,,pgd,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-final,False,,cospgd,0.0157,0.01,20,inf,epe,1
rapidflow,sintel-final,False,,cospgd,0.0314,0.01,20,inf,epe,1
rapidflow,sintel-final,False,,bim,0.0157,0.01,20,inf,epe,1
rapidflow,sintel-final,False,,bim,0.0314,0.01,20,inf,epe,1
scv4,sintel-final,True,negative,pgd,0.0314,0.01,20,inf,epe,1
scv4,sintel-final,True,zero,pgd,0.0314,0.01,20,inf,epe,1
scv4,sintel-final,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
scv4,sintel-final,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
scv4,sintel-final,True,negative,bim,0.0314,0.01,20,inf,epe,1
scv4,sintel-final,True,zero,bim,0.0314,0.01,20,inf,epe,1
scv4,sintel-final,False,,pgd,0.0157,0.01,20,inf,epe,1
scv4,sintel-final,False,,pgd,0.0314,0.01,20,inf,epe,1
scv4,sintel-final,False,,cospgd,0.0157,0.01,20,inf,epe,1
scv4,sintel-final,False,,cospgd,0.0314,0.01,20,inf,epe,1
scv4,sintel-final,False,,bim,0.0157,0.01,20,inf,epe,1
scv4,sintel-final,False,,bim,0.0314,0.01,20,inf,epe,1
separableflow,sintel-final,True,negative,pgd,0.0314,0.01,20,inf,epe,1
separableflow,sintel-final,True,zero,pgd,0.0314,0.01,20,inf,epe,1
separableflow,sintel-final,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
separableflow,sintel-final,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
separableflow,sintel-final,True,negative,bim,0.0314,0.01,20,inf,epe,1
separableflow,sintel-final,True,zero,bim,0.0314,0.01,20,inf,epe,1
separableflow,sintel-final,False,,pgd,0.0157,0.01,20,inf,epe,1
separableflow,sintel-final,False,,pgd,0.0314,0.01,20,inf,epe,1
separableflow,sintel-final,False,,cospgd,0.0157,0.01,20,inf,epe,1
separableflow,sintel-final,False,,cospgd,0.0314,0.01,20,inf,epe,1
separableflow,sintel-final,False,,bim,0.0157,0.01,20,inf,epe,1
separableflow,sintel-final,False,,bim,0.0314,0.01,20,inf,epe,1
skflow,sintel-final,True,negative,pgd,0.0314,0.01,20,inf,epe,1
skflow,sintel-final,True,zero,pgd,0.0314,0.01,20,inf,epe,1
skflow,sintel-final,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
skflow,sintel-final,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
skflow,sintel-final,True,negative,bim,0.0314,0.01,20,inf,epe,1
skflow,sintel-final,True,zero,bim,0.0314,0.01,20,inf,epe,1
skflow,sintel-final,False,,pgd,0.0157,0.01,20,inf,epe,1
skflow,sintel-final,False,,pgd,0.0314,0.01,20,inf,epe,1
skflow,sintel-final,False,,cospgd,0.0157,0.01,20,inf,epe,1
skflow,sintel-final,False,,cospgd,0.0314,0.01,20,inf,epe,1
skflow,sintel-final,False,,bim,0.0157,0.01,20,inf,epe,1
skflow,sintel-final,False,,bim,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-final,True,negative,pgd,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-final,True,zero,pgd,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-final,True,negative,cospgd,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-final,True,zero,cospgd,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-final,True,negative,bim,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-final,True,zero,bim,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-final,False,,pgd,0.0157,0.01,20,inf,epe,1
videoflow_bof,sintel-final,False,,pgd,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-final,False,,cospgd,0.0157,0.01,20,inf,epe,1
videoflow_bof,sintel-final,False,,cospgd,0.0314,0.01,20,inf,epe,1
videoflow_bof,sintel-final,False,,bim,0.0157,0.01,20,inf,epe,1
videoflow_bof,sintel-final,False,,bim,0.0314,0.01,20,inf,epe,1
